sf2_address,descriptive_name,confidence,sf3_address,evidence
0x80010654,FixedPoint_Multiply,confirmed,0x80010654,Byte-identical to the probed SF1 fixed-point multiply routine
0x80010b14,Vector_NormalizeGte,confirmed,,Instruction semantics use GTE leading-zero and square operations on a three-component vector
0x80029624,Game_Main,confirmed,0x80029ed8,Called directly by each sequel PS-X runtime entry after CRT initialization
0x80029700,Game_RunStateLoop,confirmed,0x80029fb8,Called by Game_Main and dispatches the fourteen-entry application-state jump table
0x8002a338,MissionArchive_Open,strong,,References the FOG path INIT.OVL and mission SLF path
0x8002a518,Common_Init,strong,0x8002aeac,References MOVIE.OVL and INIT.OVL while constructing application state; fuzzy-normalized SF1 Common_Init match scores 0.799 and SF3 match scores 0.880
0x8002b0d0,DiscPath_BuildCommonOrMission,confirmed,0x8002ba50,References both common and mission-qualified disc path formats
0x8002b2a0,BinOverlay_Open,strong,,References the BIN overlay path format
0x8002b4c4,BinOverlay_Load,strong,,References the BIN overlay path format
0x8002b9a8,TitleMovieOverlay_Select,strong,,References TITLE.OVL and MOVIE.OVL
0x8002bc44,ApplicationState_Push,confirmed,0x8002c6ec,Pushes a state number on the GP-relative application-state stack and selects its resident overlay; SF3 preserves the same sequence
0x8002bc80,ApplicationState_Pop,confirmed,0x8002c728,Pops the GP-relative application-state stack and reselects the prior resident overlay; SF3 preserves the same sequence
0x8002c95c,Campaign_AdvanceOrComplete,confirmed,0x8002d3f4,Restores retained player values increments the mission index and pushes state 1 while below the last mission; otherwise selects the campaign-completion path; SF3 preserves the role with its own final-mission branch
0x800ad014,CampaignProgress_CommitMission,confirmed,0x800afb6c,Calls the player carry snapshot updates completed and highest-unlocked state and conditionally copies the mission 0x26-byte progress record
0x800ad264,PlayerCarry_Snapshot,confirmed,0x800afdbc,Clamps carried health to at least 10 and copies armor equipped item ownership words and all inventory quantity pairs; SF2 copies 34 pairs while SF3 copies 40
0x80022134,Input_Update,strong,0x800228d8,Normalized instruction sequence matches the verified SF1 input entry at 0.741 with a 0.428 runner-up margin and is structurally preserved in SF3
0x8002ac88,MissionScheduler_FrameEvent,strong,0x8002b608,Normalized control flow matches the SF1 mission scheduler frame-event entry and the SF2/SF3 structural fingerprints are identical
0x8002afa4,MissionScheduler_QueueDrain,confirmed,0x8002b924,Byte-structural equivalent of the verified SF1 queue drain and preserved structurally in SF3
0x8002b8d0,LoadingOverlay_Frame,confirmed,0x8002c30c,Byte-structural equivalent of the verified SF1 loading-overlay frame entry and preserved structurally in SF3
